designation,perihelion_year,perihelion_month,perihelion_day,perihelion_distance_au,eccentricity,argument_of_perihelion_degrees,longitude_of_ascending_node_degrees,inclination_degrees,magnitude_g,magnitude_k,reference
36P,2012,1,1.481007799603067,3.089225923587557,0.2582250337412331,201.9559736717388,182.3912261042491,9.935343393601725,10.5,13.25,JPL 24
37P,2018,5,4.147349504404583,1.608855680101205,0.5344761599834154,330.0004370065654,314.6395769323095,8.962054270441827,11.5,16.25,JPL K182/10
38P,2018,11,10.987343551435648,1.588505048173736,0.859286285876197,359.5886765534911,78.00036419278668,18.3529465228447,11.5,9.5,JPL 22
39P,2023,4,3.9055815050171296,5.702220310895506,0.2293325146529492,88.70051288508857,304.5833580651899,1.470359413259978,7.1,14.75,JPL 19
40P,2014,11,15.842350107891018,1.819771156172117,0.6316152020645802,47.28885502172881,133.8401678570807,11.49264281940788,11.7,13.0,JPL K148/7
41P,2017,4,12.752753173171737,1.045042251666905,0.6612663305561262,62.16467939460709,141.0607686100529,9.22852674319567,16.9,4.5,JPL K222/4
42P,2015,4,8.209553881668738,2.027755196838527,0.5841747519155726,147.120393793131,150.279966816504,3.984591946246174,13.2,15.0,JPL K155/2
43P,2016,8,19.420556726042452,1.357100414266257,0.5949080126772412,191.5593055349412,249.8662790412355,15.97242962683691,8.6,17.0,JPL K162/9
44P,2015,3,23.666584137751098,2.11765239694958,0.4262212827081967,58.18411195753996,286.4626367814024,5.897366802167757,14.4,4.5,JPL K223/44
45P,2016,12,31.284148117411817,0.532650151526285,0.8239960779465374,326.3441984051743,88.93460245064746,4.248170541497252,13.7,22.0,JPL K222/7
46P,2018,12,12.931202577198079,1.05535576787092,0.6587596770533763,356.3410945106113,82.15763905085032,11.74759178469362,16.6,4.75,JPL K181/24
47P,2009,2,1.3995066573590624,2.802020364579447,0.318835724884545,357.8423357451096,356.9846339717133,13.05253727504212,12.0,7.0,JPL K257/4
48P,2011,9,28.982377731073832,2.302340810413068,0.3678139209714429,207.8320881617276,117.2876041559334,13.66065688238793,9.8,14.5,JPL 70
49P,2011,10,19.07882400882875,1.423830000817358,0.6003406441758035,332.7904031799862,118.8764631316513,19.05038125926099,14.3,5.5,JPL K254/11
50P,2007,11,1.5193767642347802,1.921905377858605,0.5298755100129509,49.01284921049042,355.3249286178118,19.16250741987088,13.9,8.75,JPL K244/3
51P,2015,8,12.411296076046204,1.699111770189654,0.5420451652003949,269.1635641515291,83.71771047129802,5.423651904070583,18.6,4.5,JPL K222/3
51P-A,2001,6,5.6933476782758445,1.568096864999769,0.5620663599153678,233.587839407905,119.1877795469232,8.654956945930117,10.6,15.0,JPL 8
51P-D,2022,10,2.708008511576597,1.697254316817907,0.542449283991264,269.2318496152992,83.68268363141401,5.425130539472045,18.5,5.75,JPL K222/5
52P,2014,3,7.365944123673299,1.774978317162905,0.5400628759377051,139.659148838801,336.8361209663842,10.23173068264524,11.8,16.0,JPL K212/19
53P,2016,4,30.81429926380455,2.42633018945627,0.5510595322517781,134.2640135397485,148.8981965355178,6.611181453269761,10.0,9.75,JPL K162/9
54P,2009,11,28.570121121934434,2.17176403497671,0.4270474945217546,1.933331420129209,358.8600316230779,6.06716070936822,13.1,14.0,JPL 22
55P,1998,2,28.097734096577337,0.976427915467506,0.905552720972412,172.5002736828059,235.270989149082,162.486575379434,10.0,25.0,JPL J985/69
56P,2016,7,18.08211405657162,2.505870858322732,0.507297010937097,44.21746448428298,346.0376128407566,8.14719834331643,9.3,14.75,JPL K162/4
57P,2015,5,22.51221736263242,1.725652252081287,0.4998100438785475,115.1317347410379,188.8087724831265,2.848601974231692,15.8,4.5,JPL K213/30
57P-A,2002,7,31.1512416346383,1.72939044107225,0.499040120360139,115.2325343233014,188.9256753142995,2.84481020036925,8.5,26.0,JPL K023/3
58P,2020,5,27.42411074169501,1.377427208980303,0.6626073687252968,200.4431895498961,159.0787375594129,13.10967944686458,9.1,26.75,JPL K201/4
59P,2009,3,9.62221989844154,2.351606720811735,0.4763782272378256,127.7454662545714,312.8602150427647,9.342960626491518,10.4,15.25,JPL K182/6
60P,2012,5,13.889255245349144,1.619566766899144,0.538536691475378,216.4936690753554,267.6612927793719,3.608949186300423,9.3,25.0,JPL K183/6
61P,2015,10,2.132469150639919,2.114405618782886,0.4254979088555729,221.9240102139029,163.0195890636435,6.00638087167443,13.9,7.25,JPL K223/8
62P,2011,6,30.381637677506518,1.383647861440168,0.5974667355086467,30.22849459508906,90.30811935155437,9.712484214258977,8.1,31.5,JPL K234/2
63P,2013,4,10.831340085497292,1.950577151905188,0.6509190323024351,169.0295202220291,358.0018642381609,19.77997964011996,6.5,27.0,JPL 31
64P,2018,11,3.9119853449512383,1.393350481464335,0.6873201671418198,97.14419761015853,300.0009789922836,8.948393430700706,14.5,6.0,JPL K183/8
65P,2017,10,16.820151621302777,2.910058034745291,0.2499710813543251,213.5450725173708,62.01746017781729,9.18530749034997,10.5,8.5,JPL K171/25
66P,2018,5,20.468947671946378,1.285451447234088,0.7865681713017859,257.342734110419,21.99985095509755,18.6689713312349,15.7,7.0,JPL K184/8
67P,2015,8,13.088657817413889,1.243265644018087,0.6409081297452731,12.79825003360463,50.13557349079007,7.040295031286642,12.9,7.5,JPL K213/5
68P,2019,11,11.824657112261818,1.762060137215003,0.6403445374549595,153.8357829554133,175.2997106152507,11.18434035868971,11.2,11.75,JPL K192/3
69P,2019,3,18.47862331337809,2.280444941347589,0.4136076348447155,343.6660523745314,104.8533322271144,22.04104309478001,17.3,4.5,JPL K192/6
70P,2014,10,20.68137525172388,2.006600604456861,0.4539514237931867,1.957936152016382,119.2706596543114,6.60014048121247,12.2,11.75,JPL 65
71P,2017,6,30.273414054534307,1.586459177135554,0.4944896355366223,208.9488926940616,59.4434574183451,9.445181604441487,11.1,14.25,JPL K232/27
72P,2014,7,11.696428674501215,0.7839129259392238,0.8193949688335717,337.9308169396103,36.03506114572764,9.172845610188615,17.6,19.5,JPL K236/6
73P,2017,3,16.841814328271123,0.972178856511434,0.6855224213052875,199.38905381,69.66179724003742,11.23695257587073,14.3,8.0,JPL K222/30
73P-B,2006,6,7.924427300685683,0.939111036723919,0.6932855208263886,198.7994525904428,69.89247679701043,11.39695194703386,15.2,8.0,JPL K061/24
73P-C,2011,10,16.899686367405337,0.9428566311694347,0.6922258013072282,198.8705914205202,69.84321690348189,11.37915705677313,13.2,9.0,JPL K114/1
73P-E,2001,1,28.453401416056828,0.937436994548815,0.6938774627627,198.7732444491985,69.91710448172594,11.4056211759106,10.4,15.0,JPL K013/11
73P-G,2006,6,8.096262947235532,0.939183930115084,0.693412971192622,198.7746010901946,69.90839960829794,11.3895622899332,16.8,8.0,JPL 19
73P-H,2006,6,8.279987808416458,0.939169508544489,0.693565806671118,198.7738044969675,69.9078914114573,11.3910638961291,20.2,8.0,JPL 14
73P-K,2006,6,8.222413491540117,0.939076843864193,0.693543485158215,198.7896438621016,69.89734340284451,11.3910646244732,20.9,10.0,JPL 4
