perihelion_year,perihelion_month,perihelion_day,perihelion_distance_au,eccentricity,argument_of_perihelion_degrees,longitude_of_ascending_node_degrees,inclination_degrees,magnitude_g,magnitude_k,designation,reference
2022,8,18.994,2.377938,0.41378400000000004,213.7419,126.561,1.0883,15.0,10.0,2014 R5,MPC 91615
2021,2,13.5374,1.876253,0.464912,347.7561,11.8886,6.4291,18.0,10.0,2014 U4,MPC 91616
2031,1,26.4584,10.934874,0.998813,326.3635,189.9183,95.4401,2.5,8.0,2014 UN271,MPEC 2021-S45
2027,11,24.0461,2.551269,0.534469,177.5988,166.2001,22.5258,14.0,10.0,2014 V1,MPC 95211
2023,12,19.7499,2.727474,0.388884,152.193,246.2445,8.8376,15.5,10.0,2014 W1,MPC 93586
2015,12,29.4854,4.271376999999999,0.352333,67.7325,33.368,15.2776,11.0,10.0,2014 W4,MPC105542
2014,12,31.2314,1.807938,0.708773,33.9283,61.5235,26.0189,15.0,10.0,2014 X1,MPC 94281
2015,2,17.1842,1.164463,0.8509049999999999,249.308,277.2154,172.5329,20.0,10.0,2015 A3,MPC 92275
2015,9,13.3892,6.007109,0.367481,188.8954,352.9776,18.038,8.5,10.0,2015 B1,MPC 99270
2015,2,2.895,3.7511339999999995,0.5600689999999999,227.4061,266.0296,1.7605,11.0,10.0,2015 B4,MPC109141
2015,4,25.492,2.893691,0.5603020000000001,178.2444,348.8086,13.8995,12.5,10.0,2015 C1,MPC101096
2014,3,30.8743,4.580758,0.48899899999999996,39.8,74.0613,20.5107,9.0,10.0,2015 D5,MPC109141
2015,6,30.4869,4.560312000000001,0.36146100000000003,125.1298,45.9555,20.2012,10.5,10.0,2015 D6,MPC 96866
2017,5,10.488,1.047201,0.9993639999999999,68.5091,235.1296,6.3304,13.5,5.0,2015 E61-B,MPEC 2018-BF5
2017,5,10.5102,1.045477,0.9979979999999999,68.4197,235.0945,6.3288,11.0,5.0,2015 ER61,MPEC 2021-P47
2024,10,23.9242,3.077881,0.352244,47.634,58.3575,18.7751,12.5,10.0,2015 HG16,MPEC 2021-P47
2015,6,4.1576,3.006209,0.552866,106.3603,134.1767,39.9449,13.5,10.0,2015 K5,MPC 95213
2015,9,11.9611,5.926162000000001,0.180803,225.673,86.5858,3.9717,8.5,10.0,2015 M2,MPC107684
2018,2,19.9282,3.7271919999999996,1.001525,89.6178,299.849,127.2174,6.5,10.0,2015 O1,MPEC 2021-P47
2016,1,21.0535,2.5089669999999997,0.5851569999999999,280.5795,104.7412,8.7174,14.0,10.0,2015 P4,MPC 99819
2015,8,16.9697,4.827454,0.32816999999999996,352.5346,342.6323,2.0263,11.5,5.0,2015 PD229,MPC102952
2015,9,5.8139,1.833335,0.7505890000000001,244.5506,228.4607,146.5168,15.5,10.0,2015 Q2,MPC 96867
2015,6,29.2643,2.1499770000000002,0.63436,300.4824,48.3875,22.6855,14.0,10.0,2015 R1,MPC 98562
2024,12,14.8913,2.454748,0.452956,149.7991,168.5969,15.4842,14.5,10.0,2015 R2,MPC 95734
2017,5,18.1509,6.9375350000000005,0.9960399999999999,30.6555,51.0027,124.5582,8.0,10.0,2015 T2,MPC117068
2014,12,21.7056,2.127698,0.508181,178.633,120.5019,13.0937,14.0,10.0,2015 T3,MPC 96280
2025,11,24.0983,2.921488,0.358574,89.1125,321.6506,6.4995,14.0,10.0,2015 TO19,MPC102953
2016,10,27.2237,3.378747,0.535287,82.5284,7.012,8.7796,11.0,10.0,2015 TP200,MPC110080
2017,12,16.5525,4.272748,0.9979129999999999,179.6282,197.1641,139.2261,6.5,10.0,2015 V1,MPC115881
2017,6,11.4966,1.6467180000000001,1.001815,164.9981,69.9484,49.8308,5.0,10.0,2015 V2,MPC112390
2017,8,27.8715,2.721733,1.001468,128.8859,95.1372,165.8196,8.0,10.0,2015 VL62,MPC115881
2015,10,1.6505,2.66625,0.634416,117.4847,294.2303,11.6073,13.0,10.0,2015 W2,MPC101098
2022,9,6.9919,2.1108599999999997,0.419175,218.8701,161.7622,12.1519,16.0,10.0,2015 X1,MPEC 2021-N06
2026,10,23.3385,2.8071450000000002,0.43941199999999997,306.681,77.2939,24.3937,15.0,10.0,2015 X3,MPC 97498
2017,12,28.4662,6.7950479999999995,1.000735,27.6023,122.34,124.3092,7.5,10.0,2015 X5,MPC119995
2020,10,17.0405,2.2778,0.17272300000000002,329.8331,106.9449,4.5645,16.0,10.0,2015 X6,MPC115881
2018,4,26.7503,7.9225389999999996,1.001509,196.1791,281.6086,148.8529,5.5,10.0,2015 XY1,MPEC 2021-P47
2017,11,21.861,5.3194040000000005,1.000442,10.1747,128.2035,121.2058,6.0,10.0,2016 A1,MPEC 2021-P47
2025,10,24.6477,3.466853,0.270546,141.3802,291.6175,26.4036,11.5,10.0,2016 A2,MPC100282
2017,4,27.9671,4.839171,0.386442,341.015,187.2426,8.5101,10.0,10.0,2016 A3,MPC115881
2016,2,22.8174,2.1912,0.564669,352.6027,221.4957,16.6099,16.0,10.0,2016 A7,MPC102098
2016,12,4.0981,3.2189240000000003,0.9925280000000001,8.6823,232.0453,50.4273,9.5,10.0,2016 B1,MPC107048
2021,6,17.3205,1.012838,0.665154,351.8878,180.5267,18.8938,21.0,10.0,2016 BA14,MPC109143
2017,6,4.3195,8.176807,1.00645,47.4754,233.1077,131.8778,6.5,10.0,2016 E1,MPC110494
2021,3,21.9627,2.037512,0.211096,111.1428,204.0221,10.9709,14.0,10.0,2016 G1,MPEC 2021-P47
2022,2,20.657,2.449693,0.22786700000000001,46.9766,199.8106,14.3282,16.5,10.0,2016 J1-A,MPEC 2017-D91
2022,2,19.8666,2.44988,0.22771799999999998,46.8676,199.8154,14.331,17.0,10.0,2016 J1-B,MPEC 2017-A77
2018,8,10.5163,2.213686,0.99992,209.9259,92.2262,90.9607,5.0,10.0,2016 M1,MPC119995
2017,9,16.9785,3.196996,0.999102,55.9447,353.9909,72.6443,8.5,10.0,2016 N4,MPEC 2021-N06
2018,7,17.8725,2.66305,0.997801,162.6677,298.9783,105.8426,7.0,10.0,2016 N6,MPEC 2021-P47
2021,6,10.3127,2.27026,0.289052,270.113,319.5652,24.4562,15.0,10.0,2016 P1,MPC102099
2016,10,18.9781,5.902632,0.986165,356.2967,320.7237,29.8803,10.5,10.0,2016 P4,MPC102099
2021,5,12.0204,7.081853999999999,1.00124,84.5377,322.2954,109.3883,6.0,10.0,2016 Q2,MPEC 2021-S45
2018,1,28.9938,7.088357000000001,0.5822109999999999,99.5024,271.2945,7.2536,7.0,10.0,2016 Q4,MPC102955
2018,5,8.9842,2.6004419999999997,0.9946649999999999,33.1284,80.5472,58.2573,7.0,10.0,2016 R2,MPEC 2021-N06
2016,10,9.6438,0.45477700000000004,0.9976809999999999,118.1325,78.8669,53.0192,18.0,10.0,2016 R3,MPC102099
2016,7,22.9319,2.791473,0.476434,174.0617,168.2633,10.8767,12.5,10.0,2016 R4,MPC109144
2017,3,15.9214,2.401021,0.709955,273.2808,227.5837,94.6967,12.0,10.0,2016 S1,MPC105543
2017,2,1.5909,2.305981,0.9817049999999999,137.5221,56.3836,129.8513,14.5,10.0,2016 T1,MPC105238
2016,12,29.8098,1.9009470000000002,0.980875,92.172,339.1971,81.4106,14.5,10.0,2016 T2,MPC107685
2017,9,6.4483,2.64399,0.979612,194.6002,271.7067,22.6915,10.5,10.0,2016 T3,MPC110082
2017,1,13.5366,0.324679,1.0004,162.7923,61.6372,46.2145,17.0,10.0,2016 U1,MPC103847
2017,3,5.0023,0.913618,0.9942559999999999,36.373,98.925,23.993,19.5,10.0,2016 VZ18,MPC106345
2017,2,23.3262,1.766498,0.783656,36.0973,59.9106,117.4934,15.0,10.0,2016 WM48,MPC106345
2019,4,28.0414,7.560548,0.993917,224.4791,256.3881,26.4531,6.0,10.0,2016 X1,MPEC 2021-P47
2017,5,15.9626,2.2875799999999997,0.9696520000000001,1.9662,121.0347,49.7991,13.0,10.0,2017 A1,MPC108594
2017,1,31.001,3.8421529999999997,0.911441,303.9509,97.8753,98.5157,9.5,10.0,2017 A3,MPC108594
2018,2,14.6858,9.209316000000001,0.9958629999999999,78.3045,42.6206,32.4499,5.5,10.0,2017 AB5,MPC114598
2019,2,2.3712,3.924904,1.001226,284.8107,2.1771,54.1624,6.0,10.0,2017 B3,MPEC 2021-S45
2017,1,5.8178,2.800894,0.364952,11.0197,121.4578,20.0584,14.5,10.0,2017 B4,MPC103847
2017,1,18.6342,1.4961,0.92722,110.0049,357.59,65.7698,18.0,10.0,2017 C1,MPC104793
2017,1,21.2234,2.4210700000000003,0.9745940000000001,138.5341,249.7258,118.5848,14.0,10.0,2017 C2,MPC107685
2016,6,23.0247,2.72224,0.43631800000000004,7.9948,82.1808,20.7575,14.0,10.0,2017 D1,MPC104793
2017,7,14.8503,2.494418,0.999708,334.5973,330.9433,31.2586,11.0,10.0,2017 D2,MPC112391
2017,4,27.4818,4.969208,1.002212,340.8413,186.7055,125.5899,8.0,10.0,2017 D3,MPC114598
2016,9,4.6694,2.8086330000000004,0.628355,212.2253,264.9374,10.5345,13.0,10.0,2017 D4,MPC110495
2017,1,9.7407,2.155555,0.981015,287.6439,92.6782,131.0341,16.0,10.0,2017 D5,MPC104794
2017,4,10.5848,0.9048299999999999,1.003208,152.761,142.5576,14.5734,14.0,10.0,2017 E1,MPC106346
2017,6,7.5889,5.938009,1.0062010000000001,334.4928,220.7749,70.6532,6.5,10.0,2017 E3,MPEC 2021-P47
2017,4,23.5261,0.491196,1.001491,87.071,222.8713,88.0107,17.0,10.0,2017 E4,MPC105239
2017,11,29.4146,4.496418,1.002577,64.7306,158.7892,146.4591,10.5,10.0,2017 F1,MPC111769
2017,11,26.6002,6.930119,1.002686,134.9857,38.6872,42.5391,7.5,10.0,2017 F2,MPC114598
2016,4,26.7997,2.527017,0.652992,224.4711,249.638,4.7769,13.5,10.0,2017 G1,MPC104794
2017,6,10.4677,2.839282,0.647756,105.5166,79.7948,47.9487,13.0,10.0,2017 G2,MPC108595
2017,4,16.2449,2.584932,0.9918020000000001,73.0724,279.4666,159.0437,14.0,10.0,2017 G3,MPEC 2021-P47
2018,3,17.9517,7.288933,1.0031459999999999,4.4366,225.6945,154.0188,7.0,10.0,2017 K1,MPC115882
2022,12,19.7133,1.797207,1.000629,236.1935,88.2403,87.5556,1.5,10.0,2017 K2,MPEC 2021-S45
2017,5,30.3875,2.345414,0.579929,253.4453,354.2866,4.273,14.5,10.0,2017 K3,MPEC 2021-N06
2018,1,8.5487,2.654734,0.907256,15.2938,298.8796,16.6769,10.0,10.0,2017 K4,MPC114598
2020,3,27.0619,7.681869,1.005778,172.0355,102.3717,82.2334,5.0,10.0,2017 K5,MPEC 2021-P47
2018,1,3.6875,1.9958200000000001,0.9982129999999999,303.7553,84.9884,57.2368,11.0,10.0,2017 K6,MPC114599
2017,4,28.1902,4.65402,0.972087,110.3017,7.0326,77.582,10.5,10.0,2017 M3,MPEC 2021-P47
2019,1,17.9591,3.2537119999999997,1.0013530000000002,167.617,65.9053,105.6485,6.0,10.0,2017 M4,MPEC 2021-P47
2018,6,4.482,5.997923,1.005535,92.8067,216.2875,15.8711,6.5,10.0,2017 M5,MPC118841
2017,10,15.2547,1.492294,0.995877,20.8339,25.7346,39.9472,11.0,10.0,2017 O1,MPC114599
2018,6,20.7855,5.444961,0.311017,122.4524,221.3889,7.6932,10.0,10.0,2017 P1,MPC114599
2017,12,6.4809,2.469588,0.9989879999999999,132.4393,165.4595,50.0487,10.0,10.0,2017 P2,MPC114599
2025,9,7.372,3.325676,0.195715,178.67,143.6166,2.5745,13.5,10.0,2017 R1,MPC114599
2017,8,30.2745,3.611728,0.8246110000000001,306.0242,62.3652,12.6731,13.0,10.0,2017 S2,MPC108595
2018,8,16.2268,0.207179,1.0000639999999998,255.8223,171.2921,99.1972,11.0,10.0,2017 S3,MPC114599
2018,2,26.1928,1.547324,1.000723,134.8786,131.0479,152.8673,12.5,10.0,2017 S6,MPC109591
2017,5,24.2851,7.60608,0.9993690000000001,187.5333,262.7573,124.2258,7.0,10.0,2017 S7,MPC114599
2022,9,16.169,1.692535,0.391416,254.7641,191.5429,29.8418,16.0,10.0,2017 S8,MPC114599
2023,2,27.6241,2.190705,0.30535500000000004,237.6931,146.2237,14.1439,17.0,10.0,2017 S9,MPC107050
2018,2,20.9083,0.5844010000000001,0.9999549999999999,96.9814,102.3916,96.8625,14.5,10.0,2017 T1,MPC114600
2020,5,4.8604,1.615466,0.999131,92.9862,64.379,57.2286,5.0,10.0,2017 T2,MPEC 2021-S45
2018,7,18.8402,0.824975,0.999296,246.8276,230.135,88.134,10.0,10.0,2017 T3,MPC114600
2018,6,21.0044,2.073113,0.709647,119.9469,322.2985,44.8502,15.0,5.0,2017 TW13,MPC115882
2017,8,28.1811,6.7105570000000005,0.997658,147.8333,149.7057,95.386,9.0,10.0,2017 U2,MPC114600
2019,4,14.4488,4.440468,0.098954,296.6364,165.1104,15.9185,11.0,10.0,2017 U3,MPC114600
2018,9,22.7645,7.720422999999999,1.0014319999999999,158.9971,245.9335,158.2107,7.0,10.0,2017 U4,MPEC 2021-P47
2017,12,18.6758,4.31798,0.7441989999999999,261.9991,163.0861,18.9781,12.0,10.0,2017 U5,MPC114600
2019,9,14.3291,6.424507,1.000534,326.3376,276.2459,142.5933,8.3,5.0,2017 U7,MPEC 2021-S45
2017,10,31.9059,3.94919,0.710467,168.9713,312.8397,98.1994,11.0,10.0,2017 W2,MPC114600
2018,2,28.3068,3.865685,0.5069279999999999,327.8452,210.259,18.1667,10.5,10.0,2017 W3,MPC114601
2018,6,14.7631,4.669312000000001,0.8503940000000001,283.2556,251.1338,31.3116,10.0,10.0,2017 X1,MPEC 2021-R75
2017,8,31.299,3.70776,0.9978819999999999,134.2678,307.5246,55.2642,11.5,10.0,2017 Y1,MPC117069
2020,11,4.8616,4.632561,1.000795,147.9087,65.9946,128.4149,15.0,10.0,2017 Y2,MPEC 2021-R75
2018,2,10.1377,1.2803879999999999,0.869878,67.6143,153.8405,27.5562,16.5,10.0,2017 Y3,MPC111770
2017,10,20.7641,2.411411,0.90391,96.2209,336.6618,53.6156,12.5,10.0,2018 A1,MPC114601
2019,1,12.2397,3.275666,0.992347,86.3701,194.2929,139.537,8.5,10.0,2018 A3,MPEC 2021-P47
2018,5,18.572,2.3966979999999998,0.803396,355.9969,97.6174,3.1488,14.0,10.0,2018 A4,MPC114601
2017,9,23.0513,2.689327,0.5225350000000001,359.5246,87.8132,23.5873,15.0,10.0,2018 A5,MPC109147
2019,7,13.3237,3.018478,0.80132,264.4748,340.3792,77.048,9.0,10.0,2018 A6,MPEC 2021-S45
2018,3,28.8939,5.11943,1.000022,68.3241,133.1909,162.42,9.0,10.0,2018 B1,MPC118841
2018,2,24.7868,2.6437169999999997,0.532424,235.7093,270.3653,5.1165,13.5,10.0,2018 C1,MPC114601
2018,6,1.2841,1.959743,1.0005030000000001,134.1024,91.1695,34.4612,13.0,10.0,2018 C2,MPC114601
2019,8,17.7529,2.4113599999999997,0.905595,176.2249,251.3359,160.4586,11.0,10.0,2018 DO4,MPEC 2021-P47
2018,4,17.4994,2.6988,0.9499120000000001,299.3507,146.8692,72.5174,10.5,10.0,2018 E1,MPC114602
2017,12,24.0327,3.9190089999999995,0.999001,277.4537,67.1834,97.679,10.5,10.0,2018 E2,MPC114602
2018,5,22.3886,1.558694,0.9969520000000001,72.6214,172.5559,84.6207,18.0,5.0,2018 EF9,MPC114602
2018,6,5.7926,1.455403,0.919834,35.0563,136.1316,81.8136,15.0,10.0,2018 EN4,MPC114602
2018,12,13.3293,2.9952389999999998,0.9887809999999999,71.6225,177.2755,46.0762,11.5,10.0,2018 F1,MPEC 2021-R75
2017,8,15.2313,2.483172,1.0,293.0113,173.0311,105.5348,13.0,10.0,2018 F3,MPC110084
2019,12,4.0361,3.441164,1.000996,263.2317,26.5154,78.0877,11.0,15.0,2018 F4,MPEC 2021-S45
2018,1,22.0153,2.0169669999999997,0.540506,119.9444,68.3268,7.3903,16.6,5.0,2018 H2,MPC114602
2018,4,6.9881,1.883132,0.9373879999999999,325.1493,260.081,164.1943,14.9,10.0,2018 K1,MPC114602
2019,9,9.8346,3.630086,0.996051,217.6744,91.6147,136.7023,12.2,5.0,2018 KJ3,MPEC 2021-R75
2018,11,12.5259,1.889516,0.482584,18.0137,268.6315,10.5888,15.0,10.0,2018 L1,MPC114602
2018,12,2.6742,1.713582,0.99346,56.292,243.0201,67.3485,10.0,10.0,2018 L2,MPEC 2021-P47
2018,7,31.734,1.681034,0.659884,140.6019,145.1507,26.6257,17.5,10.0,2018 L4,MPC114603
2018,5,5.3939,2.305029,0.364694,93.8723,219.0941,2.2081,14.5,10.0,2018 L5,MPC119996
2018,7,10.5373,1.302642,0.939148,14.186,339.4082,37.3024,15.5,10.0,2018 M1,MPC117070
2018,8,2.0932,1.310826,0.996432,354.6703,292.4625,159.4388,15.5,10.0,2018 N1,MPC112393
2019,11,11.0159,3.125179,1.000253,24.4176,25.2282,77.5352,6.0,10.0,2018 N2,MPEC 2021-S45
2018,8,31.7686,1.56095,0.944247,162.6366,87.6812,154.0307,17.0,10.0,2018 O1,MPC114603
2023,12,26.463,1.7528599999999999,0.41679099999999997,305.9021,59.1696,8.9107,14.5,10.0,2018 P3,MPC114603
2018,11,8.3868,3.6676860000000002,0.450621,8.2847,353.0636,23.1092,12.0,10.0,2018 P4,MPC114603
2019,2,27.4876,4.579465,0.642718,131.7954,216.2294,7.2505,11.0,10.0,2018 P5,MPEC 2021-P47
2019,6,7.344,1.287571,0.999187,112.7943,324.6431,69.7302,9.5,10.0,2018 R3,MPC118841
2018,3,3.4619,1.716891,0.9948959999999999,345.3123,298.4549,11.6815,14.0,10.0,2018 R4,MPC112393
2019,1,10.0436,3.625426,0.841017,178.0872,171.1165,103.7491,11.5,10.0,2018 R5,MPC114603
2021,11,3.0638,4.992958,1.0013530000000002,180.4621,75.4803,108.2979,5.0,10.0,2018 U1,MPEC 2021-S45
2018,12,3.0708,0.387365,1.00033,88.8851,128.8927,144.0572,12.0,10.0,2018 V1,MPC114604
2018,11,25.9719,2.478504,0.9010739999999999,318.9428,357.0829,159.1677,15.0,10.0,2018 V2,MPC115884
2019,9,8.7276,1.3412629999999999,0.9891700000000001,3.5534,308.6588,164.9774,15.7,5.0,2018 V3,MPEC 2021-P47
2019,3,1.3662,3.195935,0.984325,359.9265,78.344,69.0069,12.5,10.0,2018 V4,MPC114604
2018,10,2.7808,4.702325,0.47485299999999997,260.6615,171.2867,10.5878,12.5,10.0,2018 V5,MPEC 2021-P47
2018,6,6.1547,2.1185650000000003,0.478739,138.7704,226.4884,18.2531,15.0,10.0,2018 VN2,MPC114604
2019,5,11.6502,1.3606049999999998,0.9372440000000001,251.2409,233.6088,83.2968,15.5,5.0,2018 W1,MPEC 2021-P47
2019,9,5.5411,1.456229,1.000392,157.9873,181.8308,116.6215,9.5,10.0,2018 W2,MPEC 2021-P47
2019,7,8.2686,2.125865,0.985239,162.0246,340.8329,23.0692,12.0,10.0,2018 X2,MPC119996
2018,12,30.5985,2.6944779999999997,0.78218,359.7348,78.8861,43.3782,14.5,10.0,2018 X3,MPC114604
2019,2,6.861,1.284088,0.990669,357.9912,147.5153,160.3985,11.5,10.0,2018 Y1,MPC118842
2019,1,1.4654,3.888069,0.478655,162.2946,297.2572,11.6824,11.5,10.0,2018 Y2,MPC114605
2018,10,10.5471,2.209971,0.568407,150.7469,312.3005,13.7444,16.0,10.0,2019 A1,MPC114605
2018,11,20.1686,3.537868,0.381416,323.9645,139.4717,14.86,10.5,10.0,2019 A2,MPEC 2021-P47
2024,3,2.2527,2.309854,0.265838,325.5305,31.2933,15.371,16.0,10.0,2019 A3,MPEC 2021-P47
2023,2,27.8377,2.38741,0.087488,342.066,119.2886,13.3117,15.0,10.0,2019 A4,MPC114605
2019,6,7.9488,6.320892,0.7066819999999999,355.9182,146.6288,67.56,9.5,10.0,2019 A5,MPEC 2021-P47
2018,8,29.2182,1.9341169999999999,0.639192,156.1842,280.2527,33.2359,16.0,10.0,2019 A6,MPC114605
2018,12,28.5498,2.437989,0.369678,51.2765,122.7882,2.6665,16.0,10.0,2019 A8,MPC115884
2019,7,26.2515,1.430917,0.963675,237.9426,278.3837,84.1712,15.0,10.0,2019 A9,MPC118842
2019,3,19.4918,1.596538,0.98874,174.8208,290.4309,123.3662,16.0,10.0,2019 B1,MPC114606
2019,6,9.6322,2.441601,0.37097399999999997,0.2984,175.9224,16.934,14.5,10.0,2019 B2,MPC115885
2021,1,20.2791,6.823256,1.001838,263.9306,358.4357,66.5357,5.5,10.0,2019 B3,MPEC 2021-S45
2020,5,5.2487,6.580642,0.990584,319.1661,212.3858,36.0347,10.0,10.0,2019 C1,MPEC 2021-P47
2019,5,11.8385,1.580355,0.9889389999999999,70.5681,231.7046,34.0596,13.0,10.0,2019 D1,MPC118842
2023,11,13.4267,10.314060000000001,1.00273,280.6361,347.2528,84.2972,2.5,10.0,2019 E3,MPEC 2021-P47
2021,6,22.9099,3.595763,1.003752,251.1421,38.7223,54.1745,5.5,10.0,2019 F1,MPEC 2021-S45
2019,9,8.8195,2.243104,0.86564,11.4931,175.5903,19.2207,12.0,10.0,2019 F2,MPEC 2021-P47
2019,12,9.8449,2.290762,0.9961459999999999,82.6172,208.1507,159.2049,16.5,5.0,2019 G2,MPEC 2021-P47
2018,9,16.1432,5.856641000000001,1.002001,287.8682,130.4642,138.3843,13.0,5.0,2019 G4,MPEC 2021-N06
2019,5,10.9929,3.942194,0.472587,208.5981,340.5712,6.0842,12.0,10.0,2019 GG21,MPC114607
2019,4,27.8845,1.84635,0.992316,19.3433,269.2128,104.5498,15.5,10.0,2019 H1,MPC115885
2019,4,8.9513,2.481263,0.9642129999999999,167.7954,98.1017,24.5498,12.0,10.0,2019 J1,MPC118842
2019,7,19.7845,1.726116,0.9892219999999999,98.7369,25.5205,105.2,13.0,10.0,2019 J2,MPEC 2021-R75
2019,8,2.0787,2.374614,1.000536,16.6117,270.5425,131.4029,13.5,10.0,2019 J3,MPC117071
2019,6,1.0064,2.046662,0.994202,94.9441,21.7598,148.318,14.5,10.0,2019 JU6,MPC117071
2020,2,13.0049,2.012571,1.000057,265.7139,73.3736,87.122,10.0,10.0,2019 K1,MPEC 2021-P47
2019,6,16.1372,2.261241,0.9983209999999999,139.7825,180.1501,105.2982,12.5,10.0,2019 K4,MPC119997
2019,6,22.989,2.036338,0.987384,175.0201,177.14,15.3173,13.0,10.0,2019 K5,MPEC 2021-P47
2020,5,20.2885,3.9286589999999997,0.9979610000000001,187.64,42.9576,132.3826,11.5,10.0,2019 K6,MPEC 2021-P47
2020,6,17.1632,4.476113,1.0000879999999999,27.3388,307.9305,103.5422,6.0,10.0,2019 K7,MPEC 2021-S45
2019,7,21.6196,3.194741,0.9986729999999999,85.3968,291.0474,93.2096,11.5,10.0,2019 K8,MPEC 2021-R75
2019,8,11.3892,2.893134,0.7060069999999999,49.9909,254.4204,9.99,13.5,10.0,2019 L1,MPC118095
2019,4,1.681,1.6222940000000001,0.934782,18.7686,12.5638,152.1952,16.0,10.0,2019 L2,MPC115886
2022,1,9.633,3.5544800000000003,1.001407,171.6138,290.7892,48.3638,4.5,10.0,2019 L3,MPEC 2021-S45
2019,3,26.6349,2.48408,0.92815,336.4766,3.8987,164.2912,17.0,10.0,2019 LB7,MPC118095
2020,3,31.1454,4.575528,0.12941,122.5795,179.583,11.6088,8.5,10.0,2019 LD2,MPEC 2021-S45
2019,6,22.5776,1.065365,0.648088,332.5806,307.6004,12.2811,21.2,10.0,2019 M2,MPC118843
2019,1,2.1616,2.418933,1.0004709999999999,87.8952,154.9058,99.4774,12.2,10.0,2019 M3,MPC118095
2020,12,1.7805,1.7047560000000002,0.9997889999999999,193.4424,13.5761,82.4279,7.5,10.0,2019 N1,MPEC 2021-R75
2020,10,22.5007,4.362035,1.001344,246.8705,142.4541,99.4387,9.0,10.0,2019 NJ3,MPEC 2021-N06
2023,4,7.9059,9.682606,0.831198,129.6674,48.2956,93.2911,9.5,5.0,2019 O2,MPEC 2021-S45
2021,3,8.5463,8.81964,1.003075,60.0791,300.3848,89.8169,3.5,10.0,2019 O3,MPEC 2021-S45
2020,2,10.2147,3.645685,0.8894549999999999,61.8569,354.9102,115.0925,15.5,5.0,2019 O4,MPEC 2021-P47
2020,7,20.2252,4.998715,1.000486,56.1251,42.47,155.7254,8.5,10.0,2019 Q1,MPEC 2021-N06
2019,7,22.1365,1.2582959999999999,0.977988,176.3045,188.0214,159.0258,18.0,5.0,2019 Q2,MPC117072
2018,8,21.5306,7.257116000000001,1.003571,152.726,151.3224,65.525,8.5,10.0,2019 Q3,MPC117072
2019,2,22.2384,3.7593120000000004,0.20662800000000003,216.9884,93.1356,10.4716,13.5,10.0,2019 S2,MPC117072
2019,8,26.4176,1.806166,0.471107,212.9934,150.1599,8.6948,18.3,10.0,2019 S3,MPC118096
2020,4,7.916,3.442278,0.9851129999999999,71.3662,63.1593,92.033,11.0,10.0,2019 S4,MPEC 2021-S45
2021,1,14.4207,4.281814,0.888316,91.0513,6.949,120.8718,13.0,5.0,2019 T1,MPEC 2021-P47
2021,4,22.2985,2.646041,0.99866,239.3949,155.6424,111.489,9.0,10.0,2019 T2,MPEC 2021-P47
2021,3,3.0159,5.946823999999999,0.9980450000000001,112.3077,139.5214,121.8618,6.8,10.0,2019 T3,MPEC 2021-S45
2022,6,9.2195,4.242228,0.9958379999999999,351.2129,199.9425,53.6238,5.0,10.0,2019 T4,MPEC 2021-P47
2019,8,1.1576,1.5266309999999998,0.8091,189.5696,247.6661,33.4397,15.0,10.0,2019 T5,MPEC 2021-P47
2019,11,7.9043,2.05057,0.622692,328.9138,71.282,18.6947,15.5,10.0,2019 T6,MPEC 2021-P47
2019,9,18.6025,1.8457740000000002,0.475699,180.9787,200.0078,11.6949,19.0,10.0,2019 U4,MPC118096
2023,3,30.1138,3.6229970000000002,1.000869,181.5492,2.6416,113.519,4.5,10.0,2019 U5,MPEC 2021-S45
2020,6,18.7501,0.914342,0.9976649999999999,329.6526,235.7009,60.9988,10.0,10.0,2019 U6,MPEC 2021-P47
2020,7,16.4522,3.096993,0.998041,51.1817,83.1938,61.8659,11.0,10.0,2019 V1,MPC119998
2020,10,19.2124,5.020237,0.331495,335.953,189.1799,11.8059,10.0,10.0,2019 V2,MPEC 2021-P47
2019,5,7.7964,3.3372870000000003,0.266499,18.6836,35.3881,23.4651,12.9,10.0,2019 W1,MPC119998
2019,7,21.266,4.302796,0.302956,36.7975,43.6845,10.2461,10.4,10.0,2019 X1,MPEC 2021-P47
2020,3,15.5965,0.8312149999999999,0.990294,57.959,31.5265,73.2887,13.7,10.0,2019 Y1,MPC119999
2020,5,31.0504,0.251469,1.001386,177.2708,120.9367,45.8129,11.6,15.0,2019 Y4,MPEC 2020-L06
2020,5,31.0504,0.251469,1.001386,177.2708,120.9367,45.8129,11.6,15.0,2019 Y4-A,MPEC 2020-L06
2020,5,31.029,0.252994,0.9998090000000001,177.4039,120.6325,45.4474,12.8,15.0,2019 Y4-B,MPEC 2020-L06
2020,5,31.0082,0.252523,1.002105,177.3042,120.6625,45.595,12.7,15.0,2019 Y4-C,MPEC 2020-L06
2020,5,31.1267,0.25190799999999997,0.996296,177.4424,121.0426,45.6368,12.5,15.0,2019 Y4-D,MPEC 2020-L06
2019,8,18.2412,4.914983,0.9940120000000001,303.512,51.7764,82.805,11.0,10.0,2019 Y5,MPEC 2021-P47
2021,5,26.6768,1.217354,0.637048,41.5457,19.7471,5.739,14.0,10.0,201P,MPC 93588
2020,1,8.4416,0.977036,0.9992840000000001,68.1888,286.3709,120.7305,13.5,10.0,2020 A2,MPEC 2020-L06
