perihelion_year,perihelion_month,perihelion_day,perihelion_distance_au,eccentricity,argument_of_perihelion_degrees,longitude_of_ascending_node_degrees,inclination_degrees,magnitude_g,magnitude_k,designation,reference
2017,12,3.0323,2.737962,0.357059,159.0241,202.0502,27.9158,5.5,30.0,14P,MPEC 2021-F20
2024,3,13.4278,1.755897,0.547371,245.5779,272.3536,18.5056,13.5,10.0,150P,MPC 75720
2015,10,11.3185,2.4571389999999997,0.573653,216.0551,143.1586,4.7288,10.0,15.0,151P,MPEC 2015-Q71
2022,1,13.6246,3.094953,0.308712,163.9311,91.8593,9.8802,12.6,10.0,152P,MPEC 2021-F20
2002,3,4.8518,0.524489,0.9896299999999999,35.0364,93.2021,27.8698,9.0,10.0,153P,MPC 46101
2024,6,13.8971,1.556869,0.6758109999999999,47.843,343.0413,17.6332,2.5,30.0,154P,MPC 87068
2019,11,14.8714,1.800525,0.726193,14.6077,97.1894,6.3968,13.8,10.0,155P,MPEC 2021-F20
2020,11,17.9029,1.332912,0.614896,0.4428,35.3585,17.263,15.5,5.0,156P,MPEC 2021-O56
2022,9,9.6126,1.571627,0.557295,154.9365,287.6296,12.4367,10.0,10.0,157P,MPEC 2021-S45
2021,5,20.3977,4.799168,0.048083999999999995,173.0286,135.5178,8.0004,9.0,10.0,158P,MPEC 2021-S45
2018,5,22.055,3.618115,0.381893,4.56,54.9725,23.4685,10.0,10.0,159P,MPEC 2021-N06
2021,7,13.4742,0.991999,0.717028,347.8253,13.7133,6.7976,12.0,10.0,15P,MPEC 2021-S45
2019,12,2.4794,1.788024,0.526332,12.7207,333.3586,15.6174,15.5,5.0,160P,MPEC 2021-J28
2026,11,28.7916,1.275245,0.8348899999999999,46.9627,1.561,95.7922,8.5,15.0,161P,MPC 75721
2020,12,7.8453,1.289115,0.58299,357.1503,30.9023,27.5554,12.0,10.0,162P,MPEC 2021-S45
2019,8,5.0201,2.064567,0.451934,349.593,102.0828,12.7092,14.5,10.0,163P,MPEC 2021-S45
2018,5,31.5294,1.68103,0.540234,325.8333,88.2851,16.2579,11.0,10.0,164P,MPEC 2021-F20
2000,5,13.7174,6.879174000000001,0.615096,125.9699,0.8536,15.8952,11.5,5.0,165P,MPC 75721
2002,5,19.2384,8.514173,0.383793,321.4728,64.4263,15.3719,5.5,10.0,166P,MPC 75722
2001,5,12.3283,11.813982000000001,0.271754,344.5919,295.6704,19.1181,9.5,5.0,167P,MPC 75722
2019,8,5.449,1.35761,0.621021,15.0002,355.4519,21.6231,15.5,10.0,168P,MPC102101
2022,7,9.6988,0.602874,0.768246,218.0478,176.1081,11.2989,16.0,5.0,169P,MPEC 2021-N06
